production_week,beer,volume,tank_type,available_week
2025-11-24,Hoop Anker,2000,2000L,2026-02-16
2026-05-25,Hoop Anker,2000,2000L,2026-08-17
2025-11-24,Hoop Bleke Nelis,2000,2000L,2026-02-16
2026-01-12,Hoop Bleke Nelis,2000,2000L,2026-04-06
2026-03-02,Hoop Bleke Nelis,2000,2000L,2026-05-25
2026-04-13,Hoop Bleke Nelis,2000,2000L,2026-07-06
2026-06-08,Hoop Bleke Nelis,2000,2000L,2026-08-31
2026-07-27,Hoop Bleke Nelis,2000,2000L,2026-10-19
2026-09-07,Hoop Bleke Nelis,2000,2000L,2026-11-30
2026-10-19,Hoop Bleke Nelis,2000,2000L,2027-01-11
2025-11-24,Hoop BulleBier,2000,2000L,2026-02-16
2026-04-06,Hoop BulleBier,2000,2000L,2026-06-29
2026-09-07,Hoop BulleBier,2000,2000L,2026-11-30
2025-11-24,Hoop Kaper North East IPA,2000,2000L,2026-02-16
2025-11-24,Hoop US Lager,2000,2000L,2026-02-16
2026-01-12,Hoop US Lager,2000,2000L,2026-04-06
2026-02-09,Hoop US Lager,2000,2000L,2026-05-04
2026-03-30,Hoop US Lager,2000,2000L,2026-06-22
2026-05-04,Hoop US Lager,2000,2000L,2026-07-27
2026-05-11,Hoop US Lager,2000,2000L,2026-08-03
2026-06-22,Hoop US Lager,2000,2000L,2026-09-14
2026-08-03,Hoop US Lager,2000,2000L,2026-10-26
2026-09-07,Hoop US Lager,2000,2000L,2026-11-30
2026-11-16,Hoop US Lager,2000,2000L,2027-02-08
