month,beer,packaging_strategy,planned_volume_liters,planned_batches
2026-02-01,Hoop Bleke Nelis,BOTTLES_KEGS,4000,2
2026-02-01,Hoop Kaper Tropical IPA,BOTTLES_KEGS,4000,2
2026-02-01,Hoop Lager,BOTTLES_KEGS,8000,2
2026-03-01,Hoop Bleke Nelis,BOTTLES_KEGS,2000,1
2026-03-01,Hoop Lager,BOTTLES_KEGS,2000,1
2026-05-01,Hoop Kaper Tropical IPA,BOTTLES_KEGS,2000,1
2026-06-01,Hoop Bleke Nelis,BOTTLES_KEGS,4000,2
2026-06-01,Hoop Lager,BOTTLES_KEGS,2000,1
2026-07-01,Hoop Lager,BOTTLES_KEGS,2000,1
2026-08-01,Hoop Kaper Tropical IPA,BOTTLES_KEGS,2000,1
2026-08-01,Hoop Lager,BOTTLES_KEGS,2000,1
2026-09-01,Hoop Bleke Nelis,BOTTLES_KEGS,2000,1
2026-10-01,Hoop Lager,BOTTLES_KEGS,2000,1
2026-11-01,Hoop Bleke Nelis,BOTTLES_KEGS,2000,1
